artist,song,popularity,uri,url
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",64,spotify:track:1jYiIOC5d6soxkJP81fxq2,https://open.spotify.com/track/1jYiIOC5d6soxkJP81fxq2
Justin Timberlake,Mirrors,0,spotify:track:2JZKXgq5zsokN01KWyiY6n,https://open.spotify.com/track/2JZKXgq5zsokN01KWyiY6n
Katy Perry,Firework,72,spotify:track:4lCv7b86sLynZbXhfScfm2,https://open.spotify.com/track/4lCv7b86sLynZbXhfScfm2
Ed Sheeran,Perfect,89,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
Justin Bieber,What Do You Mean?,79,spotify:track:4B0JvthVoAAuygILe3n4Bs,https://open.spotify.com/track/4B0JvthVoAAuygILe3n4Bs
Demi Lovato,Sorry Not Sorry,0,spotify:track:3Du2K5dLzmduCNp6uwuaL0,https://open.spotify.com/track/3Du2K5dLzmduCNp6uwuaL0
Kelly Clarkson,Stronger (What Doesn't Kill You),67,spotify:track:6D60klaHqbCl9ySc8VcRss,https://open.spotify.com/track/6D60klaHqbCl9ySc8VcRss
Brett Young,In Case You Didn't Know,0,spotify:track:2dWgzqawzDkBL8QfZw92Ub,https://open.spotify.com/track/2dWgzqawzDkBL8QfZw92Ub
Jordan Davis,Singles You Up,50,spotify:track:3IPkbTA8KkdDXyWtGkfFXa,https://open.spotify.com/track/3IPkbTA8KkdDXyWtGkfFXa
Thomas Rhett,Craving You,0,spotify:track:6zLdXcmvIxnAXpz9sXFnIE,https://open.spotify.com/track/6zLdXcmvIxnAXpz9sXFnIE
Devin Dawson,All On Me,0,spotify:track:2Nc8Imt04W3ZmcBF8dPQKc,https://open.spotify.com/track/2Nc8Imt04W3ZmcBF8dPQKc
Luke Bryan,Light It Up,0,spotify:track:6znSbsDDFdBZaiucjUGaWy,https://open.spotify.com/track/6znSbsDDFdBZaiucjUGaWy
Thomas Rhett,Unforgettable,68,spotify:track:30MM5jWpUmOxtTNd9Ey5LZ,https://open.spotify.com/track/30MM5jWpUmOxtTNd9Ey5LZ
Blake Shelton,I'll Name the Dogs,46,spotify:track:2n5ZD87XQ2yvIxGjoYbUmZ,https://open.spotify.com/track/2n5ZD87XQ2yvIxGjoYbUmZ
LANCO,Greatest Love Story,0,spotify:track:0kdiUZDcLIFw0Buo9r0Q4z,https://open.spotify.com/track/0kdiUZDcLIFw0Buo9r0Q4z
Walker Hayes,You Broke Up with Me,52,spotify:track:6UsoV6X96Rox9mfxoz7SFy,https://open.spotify.com/track/6UsoV6X96Rox9mfxoz7SFy
Morgan Evans,Kiss Somebody,52,spotify:track:1mJMD1VIQ7jWTP9DK2zmY0,https://open.spotify.com/track/1mJMD1VIQ7jWTP9DK2zmY0
